cloud.google.com/go v0.22.0
github.com/hashicorp/go-rootcerts 6bb64b370b90e7ef1fa532be9e591a81c3493e00
github.com/hashicorp/go-version 03c5bf6be031b6dd45afec16b1cf94fc8938bc77
github.com/hashicorp/golang-lru 0fb14efe8c47ae851c0034ed7a448854d3d34cf3
github.com/hashicorp/serf 19f2c401e122352c047a84d6584dd51e2fb8fcc4
github.com/huandu/xstrings 3959339b333561bf62a38b424fd41517c2c90f40
github.com/imdario/mergo 7fe0c75c13abdee74b09fcacef5ea1c6bba6a874
github.com/influxdata/influxdb v1.3.7
github.com/jjcollinge/logrus-appinsights 9b66602d496a139e4722bdde32f0f1ac1c12d4a8
github.com/jjcollinge/servicefabric 8eebe170fa1ba25d3dfb928b3f86a7313b13b9fe
github.com/jmespath/go-jmespath 0b12d6b5
github.com/jonboulle/clockwork 72f9bd7c4e0c2a40055ab3d0f09654f730cce982
github.com/json-iterator/go 28452fcdec4e44348d2af0d91d1e9e38da3a9e0a
github.com/juju/ratelimit 59fac5042749a5afb9af70e813da1dd5474f0167
github.com/kr/logfmt b84e30acd515aadc4b783ad4ff83aff3299bdfe0
github.com/libkermit/compose c04e39c026ad1c76c027d6780150c8f7dec0a610
github.com/libkermit/docker e6674d32b80712b563ed8a0187af2bc93448b82f
github.com/libkermit/docker-check 1113af38e5916529ad7317b0fe12e273e6e92af5
github.com/mailgun/minheap 7c28d80e2ada649fc8ab1a37b86d30a2633bd47c
github.com/mailgun/multibuf 565402cd71fbd9c12aa7e295324ea357e970a61e
github.com/mailgun/timetools 7e6055773c5137efbeb3bd2410d705fe10ab6bfd
github.com/mailgun/ttlmap c1c17f74874f2a5ea48bfb06b5459d4ef2689749
github.com/mailru/easyjson d5b7844b561a7bc640052f1b935f7b800330d7e0
github.com/mattn/go-colorable 5411d3eea5978e6cdc258b30de592b60df6aba96
github.com/mattn/go-isatty 57fdcb988a5c543893cc61bce354a6e24ab70022
github.com/matttproud/golang_protobuf_extensions c12348ce28de40eed0136aa2b644d0ee0650e56c
github.com/mesos/mesos-go 068d5470506e3780189fe607af40892814197c5e
github.com/mesosphere/mesos-dns b47dc4c19f215e98da687b15b4c64e70f629bea5
github.com/miekg/dns 906238edc6eb0ddface4a1923f6d41ef2a5ca59b
github.com/mitchellh/copystructure d23ffcb85de31694d6ccaa23ccb4a03e55c1303f
github.com/mitchellh/go-homedir b8bc1bf767474819792c23f32d8286a45736f1c6
github.com/mitchellh/hashstructure 2bca23e0e452137f789efbc8610126fd8b94f73b
github.com/mitchellh/mapstructure b4575eea38cca1123ec2dc90c26529b5c5acfcff
github.com/mitchellh/reflectwalk 63d60e9d0dbc60cf9164e6510889b0db6683d98c
github.com/mvdan/xurls db96455566f05ffe42bd6ac671f05eeb1152b45d
github.com/namedotcom/go 08470befbe04613bd4b44cb6978b05d50294c4d4
github.com/ogier/pflag 45c278ab3607870051a2ea9040bb85fcb8557481
github.com/opencontainers/go-digest a6d0ee40d4207ea02364bd3b9e8e77b9159ba1eb
github.com/opencontainers/image-spec f03dbe35d449c54915d235f1a3cf8f585a24babe
github.com/opencontainers/runc b6b70e53451794e8333e9b602cc096b47a20bd0f
github.com/opentracing-contrib/go-observer a52f2342449246d5bcc273e65cbdcfa5f7d6c63c
github.com/opentracing/opentracing-go v1.0.2
github.com/openzipkin/zipkin-go-opentracing 1f5c07e90700ae93ddcba0c7af7d9c7201646ccc
github.com/ovh/go-ovh 91b7eb631d2eced3e706932a0b36ee8b5ee22e92
github.com/patrickmn/go-cache v2.1.0
github.com/petar/GoLLRB 53be0d36a84c2a886ca057d34b6aa4468df9ccb4
github.com/peterbourgon/diskv v2.0.1
github.com/philhofer/fwd v1.0.0
github.com/pierrec/lz4 v1.0.1
github.com/pierrec/xxHash a0006b13c722f7f12368c00a3d3c2ae8a999a0c6
github.com/pkg/errors c605e284fe17294bda444b34710735b29d1a9d90
github.com/pmezard/go-difflib v1.0.0
github.com/prometheus/client_golang 08fd2e12372a66e68e30523c7642e0cbc3e4fbde
github.com/prometheus/client_model 6f3806018612930941127f2a7c6c453ba2c527d2
github.com/prometheus/common 49fee292b27bfff7f354ee0f64e1bc4850462edf
github.com/prometheus/procfs a1dba9ce8baed984a2495b658c82687f8157b98f
github.com/rancher/go-rancher 52e2f489534007ae843065468c5a1920d542afa4
github.com/rancher/go-rancher-metadata e937e8308985dfd3bc157cc8a284454f0cbf4fef
github.com/rcrowley/go-metrics 1f30fe9094a513ce4c700b9a54458bbb0c96996c
github.com/ryanuber/go-glob 256dc444b735e061061cf46c809487313d5b0065
github.com/sacloud/libsacloud 306ea89b6ef19334614f7b0fc5aa19595022bb8c
github.com/samuel/go-zookeeper 1d7be4effb13d2d908342d349d71a284a7542693
github.com/satori/go.uuid v1.1.0
github.com/sirupsen/logrus v1.0.4
github.com/spf13/pflag cb88ea77998c3f024757528e3305022ab50b43be
github.com/stretchr/objx facf9a85c22f48d2f52f2380e4efce1768749a89
github.com/stretchr/testify v1.2.1
github.com/stvp/go-udp-testing c4434f09ec131ecf30f986d5dcb1636508bfa49a
github.com/thoas/stats 152b5d051953fdb6e45f14b6826962aadc032324
github.com/timewasted/linode 37e84520dcf74488f67654f9c775b9752c232dc1
github.com/tinylib/msgp b2b6a672cf1e5b90748f79b8b81fc8c5cf0571a1
github.com/tuvistavie/securerandom 15512123a948d62f6361bd84818e11f2ad84059a
github.com/tv42/zbase32 03389da7e0bf9844767f82690f4d68fc097a1306
github.com/uber/jaeger-client-go v2.9.0
github.com/uber/jaeger-lib v1.1.0
github.com/ugorji/go v1.1.1
github.com/unrolled/render 50716a0a853771bb36bfce61a45cdefdb98c2e6e
github.com/unrolled/secure a1cf62cc2159fff407728f118c41aece76c397fa
github.com/urfave/negroni 490e6a555d47ca891a89a150d0c1ef3922dfffe9
github.com/vdemeester/shakers v0.1.0
github.com/vulcand/oxy a3ed5f65204f4ffccbb56d58cec466cdb7ab730b
github.com/vulcand/predicate v1.0.0
github.com/xeipuuv/gojsonpointer 6fe8760cad3569743d51ddbb243b26f8456742dc
github.com/xeipuuv/gojsonreference e02fc20de94c78484cd5ffb007f8af96be030a45
github.com/xeipuuv/gojsonschema 0c8571ac0ce161a5feb57375a9cdf148c98c0f70
github.com/xenolf/lego 8b6701514cc0a6285a327908f3f9ce05bcacbffd
golang.org/x/crypto 91a49db82a88618983a78a06c1cbd4e00ab749ab
golang.org/x/net e514e69ffb8bc3c76a71ae40de0118d794855992
golang.org/x/oauth2 ec22f46f877b4505e0117eeaab541714644fdd28
golang.org/x/sys fff93fa7cd278d84afc205751523809c464168ab
golang.org/x/text 4ee4af566555f5fbe026368b75596286a312663a
golang.org/x/time 8be79e1e0910c292df4e79c241bb7e8f7e725959
google.golang.org/api de943baf05a022a8f921b544b7827bacaba1aed5
google.golang.org/appengine 4f7eeb5305a4ba1966344836ba4af9996b7b4e05
google.golang.org/genproto 09f6ed296fc66555a25fe4ce95173148778dfa85
google.golang.org/grpc v1.12.0
gopkg.in/DataDog/dd-trace-go.v1 v1.0.0
gopkg.in/fsnotify.v1 v1.4.2
gopkg.in/inf.v0 v0.9.0
gopkg.in/ini.v1 v1.30.0
gopkg.in/mattes/go-expand-tilde.v1 cb884138e64c9a8bf5c7d6106d74b0fca082df0c
gopkg.in/ns1/ns1-go.v2 a5bcac82d3f637d3928d30476610891935b2d691
gopkg.in/square/go-jose.v2 v2.1.4
gopkg.in/yaml.v2 53feefa2559fb8dfa8d81baad31be332c97d6c77
k8s.io/api af4bc157c3a209798fc897f6d4aaaaeb6c2e0d6a
k8s.io/apimachinery 180eddb345a5be3a157cea1c624700ad5bd27b8f
k8s.io/client-go v6.0.0
k8s.io/kube-openapi 275e2ce91dec4c05a4094a7b1daee5560b555ac9
github.com/Nvveen/Gotty a8b993ba6abdb0e0c12b0125c603323a71c7790c github.com/ijc25/Gotty a8b993ba6abdb0e0c12b0125c603323a71c7790c
github.com/abbot/go-http-auth 65b0cdae8d7fe5c05c7430e055938ef6d24a66c9 github.com/containous/go-http-auth 65b0cdae8d7fe5c05c7430e055938ef6d24a66c9
github.com/docker/leadership a2e096d9fe0af5b4c37dd37aea719bc9c2e5eec6 github.com/containous/leadership a2e096d9fe0af5b4c37dd37aea719bc9c2e5eec6
github.com/go-check/check ca0bf163426aa183d03fd4949101785c0347f273 github.com/containous/check ca0bf163426aa183d03fd4949101785c0347f273
github.com/mesosphere/mesos-dns b47dc4c19f215e98da687b15b4c64e70f629bea5 github.com/containous/mesos-dns b47dc4c19f215e98da687b15b4c64e70f629bea5
github.com/rancher/go-rancher-metadata e937e8308985dfd3bc157cc8a284454f0cbf4fef github.com/containous/go-rancher-metadata e937e8308985dfd3bc157cc8a284454f0cbf4fef
gopkg.in/fsnotify.v1 v1.4.2 github.com/fsnotify/fsnotify v1.4.2
