9 00001 (testdata/ppc64.s:9)	TEXT	foo(SB), 7, $0
577 00084 (testdata/ppc64.s:577)	RLDC	$4, R1, $16, R2
583 00085 (testdata/ppc64.s:583)	RLDC	$26, R1, $201326592, R2
589 00086 (testdata/ppc64.s:589)	RLDCL	R1, R2, $7, R3
595 00087 (testdata/ppc64.s:595)	RLWMI	R1, R2, $201326592, R3
605 00088 (testdata/ppc64.s:605)	MOVMW	4(R1), R2
612 00089 (testdata/ppc64.s:612)	MOVMW	R1, 4(R2)
622 00090 (testdata/ppc64.s:622)	LSW	(R1), R2
623 00091 (testdata/ppc64.s:623)	LSW	(R1)(R2*1), R3
629 00092 (testdata/ppc64.s:629)	LSW	(R1), $1, R2
630 00093 (testdata/ppc64.s:630)	LSW	(R1)(R2*1), $1, R3
636 00094 (testdata/ppc64.s:636)	STSW	R1, (R2)
637 00095 (testdata/ppc64.s:637)	STSW	R1, (R2)(R3*1)
643 00096 (testdata/ppc64.s:643)	STSW	R1, $1, (R2)
644 00097 (testdata/ppc64.s:644)	STSW	R1, $1, (R2)(R3*1)
650 00098 (testdata/ppc64.s:650)	MOVHBR	(R1), R2
651 00099 (testdata/ppc64.s:651)	MOVHBR	(R1)(R2*1), R3
657 00100 (testdata/ppc64.s:657)	MOVHBR	R1, (R2)
658 00101 (testdata/ppc64.s:658)	MOVHBR	R1, (R2)(R3*1)
664 00102 (testdata/ppc64.s:664)	DCBF	(R1)
665 00103 (testdata/ppc64.s:665)	DCBF	(R1)(R2*1)
674 00104 (testdata/ppc64.s:674)	NOP
680 00105 (testdata/ppc64.s:680)	NOP	R2
686 00106 (testdata/ppc64.s:686)	NOP	F2
692 00107 (testdata/ppc64.s:692)	NOP	R2
698 00108 (testdata/ppc64.s:698)	NOP	F2
704 00109 (testdata/ppc64.s:704)	NOP	$4
712 00110 (testdata/ppc64.s:712)	BEQ	112(PC)
713 00111 (testdata/ppc64.s:713)	RET
717 00112 (testdata/ppc64.s:717)	BEQ	114(PC)
718 00113 (testdata/ppc64.s:718)	JMP	foo(SB)
719 00114 (testdata/ppc64.s:719)	CALL	foo(SB)
720 00115 (testdata/ppc64.s:720)	BEQ	117(PC)
721 00116 (testdata/ppc64.s:721)	JMP	foo(SB)
722 00117 (testdata/ppc64.s:722)	CALL	foo(SB)
730 00118 (testdata/ppc64.s:730)	END
